id,time,qpos,qvel,qacc,ctrl
65,0.1320000000000001,[5.91585033e-05 1.22295626e-04],[0.00172451 0.00354372],[0.03764962 0.07641341],[0.39337116 0.        ]
66,0.1340000000000001,[6.27623910e-05 1.29697078e-04],[0.00180194 0.00370073],[0.03871666 0.07850061],[0.40465712 0.        ]
67,0.1360000000000001,[6.65254547e-05 1.37420942e-04],[0.00188153 0.00386193],[0.03979397 0.08060287],[0.41606061 0.        ]
68,0.1380000000000001,[7.04520436e-05 1.45475683e-04],[0.00196329 0.00402737],[0.04088131 0.08271947],[0.42757926 0.        ]
69,0.1400000000000001,[7.45465461e-05 1.53869823e-04],[0.00204725 0.00419707],[0.0419784 0.0848497],[0.43921066 0.        ]
70,0.1420000000000001,[7.88133886e-05 1.62611935e-04],[0.00213342 0.00437106],[0.04308499 0.08699282],[0.45095238 0.        ]
71,0.1440000000000001,[8.32570342e-05 1.71710639e-04],[0.00222182 0.00454935],[0.0442008 0.0891481],[0.46280198 0.        ]
72,0.1460000000000001,[8.78819821e-05 1.81174602e-04],[0.00231247 0.00473198],[0.04532556 0.0913148 ],[0.47475696 0.        ]
73,0.1480000000000001,[9.26927660e-05 1.91012534e-04],[0.00240539 0.00491897],[0.04645901 0.09349216],[0.48681483 0.        ]
74,0.1500000000000001,[9.76939533e-05 2.01233183e-04],[0.00250059 0.00511032],[0.04760086 0.09567945],[0.49897305 0.        ]
75,0.1520000000000001,[0.00010289 0.00021185],[0.0025981  0.00530608],[0.04875085 0.09787589],[0.51122907 0.        ]
76,0.1540000000000001,[0.00010829 0.00022286],[0.00269791 0.00550624],[0.04990868 0.10008071],[0.5235803 0.       ]
77,0.1560000000000001,[0.00011389 0.00023428],[0.00280006 0.00571082],[0.05107408 0.10229315],[0.53602413 0.        ]
78,0.1580000000000001,[0.0001197  0.00024612],[0.00290455 0.00591985],[0.05224676 0.10451243],[0.54855795 0.        ]
79,0.16000000000000011,[0.00012572 0.00025839],[0.00301141 0.00613332],[0.05342644 0.10673777],[0.56117909 0.        ]
80,0.16200000000000012,[0.00013196 0.00027109],[0.00312063 0.00635126],[0.05461282 0.10896836],[0.57388487 0.        ]
81,0.16400000000000012,[0.00013842 0.00028424],[0.00323224 0.00657367],[0.05580561 0.11120343],[0.58667261 0.        ]
82,0.16600000000000012,[0.00014512 0.00029784],[0.00334625 0.00680055],[0.05700452 0.11344217],[0.59953958 0.        ]
83,0.16800000000000012,[0.00015204 0.0003119 ],[0.00346267 0.00703192],[0.05820926 0.11568377],[0.61248304 0.        ]
84,0.17000000000000012,[0.0001592  0.00032644],[0.00358151 0.00726778],[0.05941951 0.11792744],[0.62550022 0.        ]
85,0.17200000000000013,[0.00016661 0.00034145],[0.00370278 0.00750812],[0.06063499 0.12017235],[0.63858834 0.        ]
86,0.17400000000000013,[0.00017426 0.00035696],[0.00382649 0.00775296],[0.06185539 0.12241769],[0.6517446 0.       ]
87,0.17600000000000013,[0.00018217 0.00037296],[0.00395265 0.00800228],[0.06308041 0.12466263],[0.66496618 0.        ]
88,0.17800000000000013,[0.00019033 0.00038948],[0.00408127 0.00825609],[0.06430973 0.12690636],[0.67825021 0.        ]
89,0.18000000000000013,[0.00019876 0.0004065 ],[0.00421236 0.00851439],[0.06554306 0.12914804],[0.69159386 0.        ]
90,0.18200000000000013,[0.00020745 0.00042406],[0.00434592 0.00877716],[0.06678008 0.13138684],[0.70499422 0.        ]
91,0.18400000000000014,[0.00021641 0.00044215],[0.00448196 0.00904441],[0.06802048 0.13362193],[0.7184484 0.       ]
92,0.18600000000000014,[0.00022565 0.00046078],[0.00462049 0.00931611],[0.06926394 0.13585246],[0.73195349 0.        ]
93,0.18800000000000014,[0.00023518 0.00047996],[0.00476151 0.00959227],[0.07051016 0.13807759],[0.74550655 0.        ]
94,0.19000000000000014,[0.00024499 0.00049971],[0.00490502 0.00987286],[0.07175881 0.14029648],[0.75910461 0.        ]
95,0.19200000000000014,[0.00025509 0.00052003],[0.00505104 0.01015788],[0.07300958 0.14250828],[0.77274473 0.        ]
96,0.19400000000000014,[0.00026549 0.00054092],[0.00519957 0.0104473 ],[0.07426215 0.14471215],[0.78642391 0.        ]
97,0.19600000000000015,[0.00027619 0.0005624 ],[0.0053506  0.01074112],[0.07551619 0.14690722],[0.80013914 0.        ]
98,0.19800000000000015,[0.0002872  0.00058448],[0.00550414 0.0110393 ],[0.07677138 0.14909264],[0.81388742 0.        ]
99,0.20000000000000015,[0.00029852 0.00060716],[0.0056602  0.01134184],[0.07802741 0.15126756],[0.82766572 0.        ]
100,0.20200000000000015,[0.00031015 0.00063046],[0.00581877 0.0116487 ],[0.07928395 0.15343112],[0.84147098 0.        ]
