id,time,qpos,qvel,qacc,ctrl
72,0.1460000000000001,[ 0.04573467 -0.00078284],[0.5938341 0.1066787],[5.27687413 1.14265882],[6.59384672 6.59384672]
73,0.1480000000000001,[ 0.04694338 -0.00056457],[0.60435508 0.10913616],[5.26604173 1.22506498],[6.66869635 6.66869635]
74,0.1500000000000001,[ 0.04817309 -0.00034105],[0.61485502 0.1117558 ],[5.25538077 1.30646888],[6.74287912 6.74287912]
75,0.1520000000000001,[ 0.04942376 -0.00011198],[0.62533425 0.11453563],[5.24488957 1.38686686],[6.8163876 6.8163876]
76,0.1540000000000001,[0.05069535 0.00012296],[0.63579311 0.11747362],[5.23456644 1.46625532],[6.88921445 6.88921445]
77,0.1560000000000001,[0.05198781 0.0003641 ],[0.64623193 0.12056777],[5.22440967 1.54463074],[6.96135239 6.96135239]
78,0.1580000000000001,[0.05330111 0.00061173],[0.65665103 0.12381604],[5.21441753 1.62198967],[7.03279419 7.03279419]
79,0.16000000000000011,[0.05463521 0.00086616],[0.66705073 0.12721641],[5.20458831 1.69832877],[7.10353272 7.10353272]
80,0.16200000000000012,[0.05599008 0.0011277 ],[0.67743135 0.13076684],[5.19492026 1.77364473],[7.17356091 7.17356091]
81,0.16400000000000012,[0.05736566 0.00139663],[0.68779322 0.13446527],[5.18541165 1.84793436],[7.24287174 7.24287174]
82,0.16600000000000012,[0.05876194 0.00167325],[0.69813663 0.13830967],[5.1760607  1.92119452],[7.3114583 7.3114583]
83,0.16800000000000012,[0.06017886 0.00195784],[0.7084619  0.14229798],[5.16686567 1.99342217],[7.37931371 7.37931371]
84,0.17000000000000012,[0.0616164 0.0022507],[0.71876933 0.14642812],[5.15782477 2.06461433],[7.4464312 7.4464312]
85,0.17200000000000013,[0.06307452 0.0025521 ],[0.72905923 0.15069804],[5.14893622 2.13476812],[7.51280405 7.51280405]
86,0.17400000000000013,[0.06455318 0.00286231],[0.73933189 0.15510566],[5.14019824 2.20388071],[7.57842563 7.57842563]
87,0.17600000000000013,[0.06605236 0.00318161],[0.7495876  0.15964889],[5.13160902 2.27194939],[7.64328937 7.64328937]
88,0.17800000000000013,[0.06757201 0.00351026],[0.75982666 0.16432566],[5.12316675 2.33897148],[7.70738879 7.70738879]
89,0.18000000000000013,[0.06911211 0.00384852],[0.77004935 0.16913387],[5.11486964 2.40494443],[7.77071748 7.77071748]
90,0.18200000000000013,[0.07067262 0.00419667],[0.78025596 0.17407143],[5.10671584 2.46986573],[7.8332691 7.8332691]
91,0.18400000000000014,[0.07225351 0.00455494],[0.79044676 0.17913623],[5.09870355 2.53373298],[7.8950374 7.8950374]
92,0.18600000000000014,[0.07385476 0.00492359],[0.80062203 0.18432618],[5.09083091 2.59654383],[7.9560162 7.9560162]
93,0.18800000000000014,[0.07547632 0.00530287],[0.81078204 0.18963916],[5.0830961  2.65829604],[8.01619941 8.01619941]
94,0.19000000000000014,[0.07711818 0.00569302],[0.82092706 0.19507306],[5.07549726 2.71898743],[8.075581 8.075581]
95,0.19200000000000014,[0.07878029 0.00609427],[0.83105736 0.20062577],[5.06803253 2.7786159 ],[8.13415505 8.13415505]
96,0.19400000000000014,[0.08046264 0.00650686],[0.84117319 0.20629515],[5.06070007 2.83717945],[8.19191568 8.19191568]
97,0.19600000000000015,[0.08216519 0.00693102],[0.85127482 0.21207909],[5.05349801 2.89467615],[8.24885713 8.24885713]
98,0.19800000000000015,[0.08388791 0.00736697],[0.86136249 0.21797546],[5.04642447 2.95110414],[8.3049737 8.3049737]
99,0.20000000000000015,[0.08563078 0.00781493],[0.87143646 0.22398212],[5.03947757 3.00646165],[8.36025979 8.36025979]
100,0.20200000000000015,[0.08739378 0.00827513],[0.88149697 0.23009693],[5.03265545 3.06074701],[8.41470985 8.41470985]
101,0.20400000000000015,[0.08917687 0.00874776],[0.89154427 0.23631777],[5.0259562  3.11395859],[8.46831845 8.46831845]
102,0.20600000000000016,[0.09098002 0.00923305],[0.90157858 0.24264248],[5.01937795 3.16609488],[8.52108022 8.52108022]
103,0.20800000000000016,[0.09280322 0.00973118],[0.91160016 0.24906891],[5.0129188  3.21715444],[8.57298989 8.57298989]
104,0.21000000000000016,[0.09464644 0.01024237],[0.92160922 0.25559493],[5.00657684 3.2671359 ],[8.62404227 8.62404227]
105,0.21200000000000016,[0.09650965 0.01076681],[0.931606   0.26221838],[5.00035018 3.31603798],[8.67423226 8.67423226]
106,0.21400000000000016,[0.09839284 0.01130469],[0.94159071 0.26893711],[4.9942369  3.36385949],[8.72355482 8.72355482]
107,0.21600000000000016,[0.10029596 0.01185618],[0.95156358 0.27574897],[4.98823511 3.41059932],[8.77200504 8.77200504]
108,0.21800000000000017,[0.10221901 0.01242149],[0.96152483 0.28265178],[4.98234287 3.45625643],[8.81957807 8.81957807]
109,0.22000000000000017,[0.10416196 0.01300077],[0.97147466 0.28964341],[4.97655827 3.50082987],[8.86626914 8.86626914]
110,0.22200000000000017,[0.10612479 0.01359422],[0.98141328 0.29672168],[4.9708794  3.54431878],[8.9120736 8.9120736]
111,0.22400000000000017,[0.10810747 0.01420199],[0.99134089 0.30388443],[4.96530433 3.58672238],[8.95698686 8.95698686]
112,0.22600000000000017,[0.11010999 0.01482424],[1.0012577 0.3111295],[4.95983112 3.62803996],[9.00100442 9.00100442]
